"objective","user_id","earned_points","possible_points","per_earned"
"LO 7",669562,19,30,0.633333333333333
"LO 7",286020,20,30,0.666666666666667
"LO 7",726673,19,30,0.633333333333333
"LO 7",854820,0,30,0
"LO 7",710119,0,30,0
"LO 7",404228,0,30,0
"LO 7",661303,0,30,0
"LO 7",869234,0,30,0
"LO 7",317094,0,30,0
"LO 7",930876,0,30,0
"LO 7",224410,20,30,0.666666666666667
"LO 7",299345,20,30,0.666666666666667
"LO 7",759213,0,30,0
"LO 7",580736,20,30,0.666666666666667
"LO 7",664802,20,30,0.666666666666667
"LO 7",694360,0,30,0
"LO 7",699887,20,30,0.666666666666667
"LO 7",971824,0,30,0
"LO 7",809743,20,30,0.666666666666667
"LO 7",570147,18,30,0.6
"LO 7",746871,19,30,0.633333333333333
"LO 7",172351,20,30,0.666666666666667
"LO 7",706291,20,30,0.666666666666667
"LO 7",577637,0,30,0
"LO 7",536905,20,30,0.666666666666667
"LO 7",562917,10,30,0.333333333333333
"LO 7",370770,18,30,0.6
"LO 7",570301,20,30,0.666666666666667
"LO 7",335286,0,30,0
"LO 7",203204,20,30,0.666666666666667
"LO 7",942671,0,30,0
"LO 7",852057,0,30,0
"LO 7",788583,30,30,1
